candidate,state,debate,rank
Carly Fiorina,TX,2,4
Carly Fiorina,TX,3,3
Jim Gilmore,TX,1,3
Jim Gilmore,TX,2,10
Jim Gilmore,TX,3,11
Lindsey Graham,TX,1,8
Lindsey Graham,TX,2,1
Lindsey Graham,TX,3,11
Mike Huckabee,TX,1,14
Mike Huckabee,TX,2,8
Mike Huckabee,TX,3,2
Bobby Jindal,TX,1,11
Bobby Jindal,TX,2,7
Bobby Jindal,TX,3,15
John Kasich,TX,1,4
John Kasich,TX,2,8
John Kasich,TX,3,2
George Pataki,TX,1,8
George Pataki,TX,2,10
George Pataki,TX,3,5
Rand Paul,TX,1,4
Rand Paul,TX,2,7
Rand Paul,TX,3,1
Marco Rubio,TX,1,3
Marco Rubio,TX,2,10
Marco Rubio,TX,3,13
Rick Santorum,TX,1,13
Rick Santorum,TX,2,11
Rick Santorum,TX,3,10
Donald Trump,TX,1,9
Donald Trump,TX,2,15
Donald Trump,TX,3,4
Jeb Bush,UT,1,1
Jeb Bush,UT,2,5
Jeb Bush,UT,3,8
Ben Carson,UT,1,10
Ben Carson,UT,2,8
Ben Carson,UT,3,13
Chris Christie,UT,1,12
Chris Christie,UT,2,2
Chris Christie,UT,3,4
Ted Cruz,UT,1,5
Ted Cruz,UT,2,5
Ted Cruz,UT,3,3
Carly Fiorina,UT,1,3
Carly Fiorina,UT,2,7
Carly Fiorina,UT,3,10
Jim Gilmore,UT,1,3
Jim Gilmore,UT,2,8
Jim Gilmore,UT,3,8
Lindsey Graham,UT,1,8
Lindsey Graham,UT,2,5
Lindsey Graham,UT,3,1
Mike Huckabee,UT,1,5
Mike Huckabee,UT,2,10
Mike Huckabee,UT,3,7
Bobby Jindal,UT,1,2
Bobby Jindal,UT,2,2
Bobby Jindal,UT,3,15
John Kasich,UT,1,13
John Kasich,UT,2,13
John Kasich,UT,3,6
George Pataki,UT,1,4
George Pataki,UT,2,3
George Pataki,UT,3,11
Rand Paul,UT,1,11
Rand Paul,UT,2,5
Rand Paul,UT,3,4
Marco Rubio,UT,1,6
Marco Rubio,UT,2,6
Marco Rubio,UT,3,7
Rick Santorum,UT,1,9
Rick Santorum,UT,2,13
Rick Santorum,UT,3,10
Donald Trump,UT,1,7
Donald Trump,UT,2,11
Donald Trump,UT,3,10
Jeb Bush,VT,1,5
Jeb Bush,VT,2,4
Jeb Bush,VT,3,14
Ben Carson,VT,1,6
Ben Carson,VT,2,7
Ben Carson,VT,3,10
Chris Christie,VT,1,15
Chris Christie,VT,2,6
Chris Christie,VT,3,15
Ted Cruz,VT,1,8
Ted Cruz,VT,2,13
Ted Cruz,VT,3,10
Carly Fiorina,VT,1,11
Carly Fiorina,VT,2,8
Carly Fiorina,VT,3,12
Jim Gilmore,VT,1,3
Jim Gilmore,VT,2,14
Jim Gilmore,VT,3,10
Lindsey Graham,VT,1,3
Lindsey Graham,VT,2,7
Lindsey Graham,VT,3,5
Mike Huckabee,VT,1,11
Mike Huckabee,VT,2,14
Mike Huckabee,VT,3,3
Bobby Jindal,VT,1,6
Bobby Jindal,VT,2,9
Bobby Jindal,VT,3,2
John Kasich,VT,1,7
John Kasich,VT,2,10
John Kasich,VT,3,3
George Pataki,VT,1,6
George Pataki,VT,2,14
George Pataki,VT,3,8
Rand Paul,VT,1,4
Rand Paul,VT,2,8
Rand Paul,VT,3,9
Marco Rubio,VT,1,8
Marco Rubio,VT,2,8
Marco Rubio,VT,3,3
Rick Santorum,VT,1,10
Rick Santorum,VT,2,15
Rick Santorum,VT,3,8
Donald Trump,VT,1,3
Donald Trump,VT,2,13
Donald Trump,VT,3,13
Jeb Bush,VA,1,6
Jeb Bush,VA,2,9
Jeb Bush,VA,3,8
Ben Carson,VA,1,7
Ben Carson,VA,2,9
Ben Carson,VA,3,1
Chris Christie,VA,1,10
Chris Christie,VA,2,4
Chris Christie,VA,3,1
Ted Cruz,VA,1,1
Ted Cruz,VA,2,10
Ted Cruz,VA,3,5
Carly Fiorina,VA,1,2
Carly Fiorina,VA,2,5
Carly Fiorina,VA,3,5
Jim Gilmore,VA,1,14
Jim Gilmore,VA,2,7
Jim Gilmore,VA,3,13
Lindsey Graham,VA,1,4
Lindsey Graham,VA,2,4
Lindsey Graham,VA,3,3
Mike Huckabee,VA,1,6
Mike Huckabee,VA,2,8
Mike Huckabee,VA,3,3
Bobby Jindal,VA,1,13
Bobby Jindal,VA,2,12
Bobby Jindal,VA,3,8
John Kasich,VA,1,7
John Kasich,VA,2,5
John Kasich,VA,3,1
George Pataki,VA,1,8
George Pataki,VA,2,15
George Pataki,VA,3,14
Rand Paul,VA,1,5
Rand Paul,VA,2,8
Rand Paul,VA,3,7
Marco Rubio,VA,1,10
Marco Rubio,VA,2,11
Marco Rubio,VA,3,12
Rick Santorum,VA,1,9
Rick Santorum,VA,2,4
Rick Santorum,VA,3,2
Donald Trump,VA,1,12
Donald Trump,VA,2,9
Donald Trump,VA,3,15
Jeb Bush,WA,1,12
Jeb Bush,WA,2,9
Jeb Bush,WA,3,11
Ben Carson,WA,1,12
Ben Carson,WA,2,15
Ben Carson,WA,3,11
Chris Christie,WA,1,10
Chris Christie,WA,2,2
Chris Christie,WA,3,11
Ted Cruz,WA,1,9
Ted Cruz,WA,2,6
Ted Cruz,WA,3,6
Carly Fiorina,WA,1,14
Carly Fiorina,WA,2,14
Carly Fiorina,WA,3,9
Jim Gilmore,WA,1,2
Jim Gilmore,WA,2,12
Jim Gilmore,WA,3,1
Lindsey Graham,WA,1,12
Lindsey Graham,WA,2,9
Lindsey Graham,WA,3,15
Mike Huckabee,WA,1,11
Mike Huckabee,WA,2,12
Mike Huckabee,WA,3,11
Bobby Jindal,WA,1,14
Bobby Jindal,WA,2,2
Bobby Jindal,WA,3,13
John Kasich,WA,1,12
John Kasich,WA,2,8
John Kasich,WA,3,15
George Pataki,WA,1,7
George Pataki,WA,2,3
George Pataki,WA,3,5
Rand Paul,WA,1,3
Rand Paul,WA,2,14
Rand Paul,WA,3,14
Marco Rubio,WA,1,3
Marco Rubio,WA,2,1
Marco Rubio,WA,3,9
Rick Santorum,WA,1,2
Rick Santorum,WA,2,9
Rick Santorum,WA,3,1
Donald Trump,WA,1,2
Donald Trump,WA,2,15
Donald Trump,WA,3,5
Jeb Bush,WV,1,9
Jeb Bush,WV,2,3
Jeb Bush,WV,3,15
Ben Carson,WV,1,14
Ben Carson,WV,2,10
Ben Carson,WV,3,7
Chris Christie,WV,1,6
Chris Christie,WV,2,11
Chris Christie,WV,3,1
Ted Cruz,WV,1,5
Ted Cruz,WV,2,6
Ted Cruz,WV,3,3
Carly Fiorina,WV,1,9
Carly Fiorina,WV,2,3
Carly Fiorina,WV,3,6
Jim Gilmore,WV,1,13
Jim Gilmore,WV,2,12
Jim Gilmore,WV,3,15
Lindsey Graham,WV,1,3
Lindsey Graham,WV,2,9
Lindsey Graham,WV,3,1
Mike Huckabee,WV,1,4
Mike Huckabee,WV,2,8
Mike Huckabee,WV,3,12
Bobby Jindal,WV,1,3
Bobby Jindal,WV,2,8
Bobby Jindal,WV,3,1
John Kasich,WV,1,12
John Kasich,WV,2,14
John Kasich,WV,3,9
George Pataki,WV,1,12
George Pataki,WV,2,9
George Pataki,WV,3,11
Rand Paul,WV,1,7
Rand Paul,WV,2,15
Rand Paul,WV,3,14
Marco Rubio,WV,1,11
Marco Rubio,WV,2,8
Marco Rubio,WV,3,5
Rick Santorum,WV,1,7
Rick Santorum,WV,2,2
Rick Santorum,WV,3,2
Donald Trump,WV,1,8
Donald Trump,WV,2,9
Donald Trump,WV,3,8
Jeb Bush,WI,1,2
Jeb Bush,WI,2,7
Jeb Bush,WI,3,6
Ben Carson,WI,1,15
Ben Carson,WI,2,15
Ben Carson,WI,3,12
Chris Christie,WI,1,12
Chris Christie,WI,2,11
Chris Christie,WI,3,2
Ted Cruz,WI,1,4
Ted Cruz,WI,2,2
Ted Cruz,WI,3,10
Carly Fiorina,WI,1,1
Carly Fiorina,WI,2,6
Carly Fiorina,WI,3,9
Jim Gilmore,WI,1,13
Jim Gilmore,WI,2,15
Jim Gilmore,WI,3,5
Lindsey Graham,WI,1,9
Lindsey Graham,WI,2,4
Lindsey Graham,WI,3,7
Mike Huckabee,WI,1,1
Mike Huckabee,WI,2,6
Mike Huckabee,WI,3,1
Bobby Jindal,WI,1,10
Bobby Jindal,WI,2,5
Bobby Jindal,WI,3,14
John Kasich,WI,1,14
John Kasich,WI,2,12
John Kasich,WI,3,6
George Pataki,WI,1,9
George Pataki,WI,2,7
George Pataki,WI,3,2
Rand Paul,WI,1,7
Rand Paul,WI,2,15
Rand Paul,WI,3,14
Marco Rubio,WI,1,2
Marco Rubio,WI,2,8
Marco Rubio,WI,3,3
Rick Santorum,WI,1,9
Rick Santorum,WI,2,13
Rick Santorum,WI,3,11
Donald Trump,WI,1,5
Donald Trump,WI,2,1
Donald Trump,WI,3,13
Jeb Bush,WY,1,2
Jeb Bush,WY,2,15
Jeb Bush,WY,3,10
Ben Carson,WY,1,2
Ben Carson,WY,2,1
Ben Carson,WY,3,12
Chris Christie,WY,1,13
Chris Christie,WY,2,7
Chris Christie,WY,3,14
Ted Cruz,WY,1,14
Ted Cruz,WY,2,4
Ted Cruz,WY,3,5
Carly Fiorina,WY,1,2
Carly Fiorina,WY,2,7
Carly Fiorina,WY,3,13
Jim Gilmore,WY,1,14
Jim Gilmore,WY,2,15
Jim Gilmore,WY,3,9
Lindsey Graham,WY,1,7
Lindsey Graham,WY,2,10
Lindsey Graham,WY,3,11
Mike Huckabee,WY,1,4
Mike Huckabee,WY,2,4
Mike Huckabee,WY,3,3
Bobby Jindal,WY,1,14
Bobby Jindal,WY,2,15
Bobby Jindal,WY,3,8
John Kasich,WY,1,12
John Kasich,WY,2,12
John Kasich,WY,3,4
George Pataki,WY,1,2
George Pataki,WY,2,12
George Pataki,WY,3,9
Rand Paul,WY,1,4
Rand Paul,WY,2,1
Rand Paul,WY,3,15
Marco Rubio,WY,1,4
Marco Rubio,WY,2,9
Marco Rubio,WY,3,2
Rick Santorum,WY,1,1
Rick Santorum,WY,2,15
Rick Santorum,WY,3,10
Donald Trump,WY,1,2
Donald Trump,WY,2,4
Donald Trump,WY,3,13
